2,1000000,10,5.046334
2,1000000,1000,0.103034
2,800,10,0.000213
2,800,1000,0.002917
2,6500,10,0.000633
2,6500,1000,0.003602
4,1000000,10,5.047082
4,1000000,1000,0.102855
4,800,10,0.000229
4,800,1000,0.003039
4,6500,10,0.000658
4,6500,1000,0.003861
8,1000000,10,5.048018
8,1000000,1000,0.103972
8,800,10,0.000447
8,800,1000,0.003407
8,6500,10,0.0008
8,6500,1000,0.004229
12,1000000,10,5.050848
12,1000000,1000,0.105153
12,800,10,0.000528
12,800,1000,0.003532
12,6500,10,0.000934
12,6500,1000,0.004109
16,1000000,10,5.047569
16,1000000,1000,0.105304
16,800,10,0.000609
16,800,1000,0.003721
16,6500,10,0.00105
16,6500,1000,0.004812
24,1000000,10,5.049906
24,1000000,1000,0.107281
24,800,10,0.000726
24,800,1000,0.004102
24,6500,10,0.001099
24,6500,1000,0.004664
32,1000000,10,5.051174
32,1000000,1000,0.108058
32,800,10,0.000893
32,800,1000,0.004628
32,6500,10,0.00128
32,6500,1000,0.006403
48,1000000,10,5.049676
48,1000000,1000,0.10579
48,800,10,0.001292
48,800,1000,0.00586
48,6500,10,0.001728
48,6500,1000,0.006952
64,1000000,10,5.049547
64,1000000,1000,0.10775
64,800,10,0.001784
64,800,1000,0.007985
64,6500,10,0.00229
64,6500,1000,0.008603
