None,1,1,0.0014
None,1,10,0.0014
None,1,100,0.0014
None,1,1000,0.0014
None,1,10000,0.002
None,1,100000,0.0072
None,10,1,0.0014
None,10,10,0.0014
None,10,100,0.0028
None,10,1000,0.0014
None,10,10000,0.002
None,10,100000,0.0078
None,100,1,0.0066
None,100,10,0.0014
None,100,100,0.0014
None,100,1000,0.0016
None,100,10000,0.0038
None,100,100000,0.032
None,1000,1,0.0016
None,1000,10,0.0014
None,1000,100,0.0016
None,1000,1000,0.0034000000000000002
None,1000,10000,0.0248
None,1000,100000,0.23820000000000002
None,10000,1,0.0068000000000000005
None,10000,10,0.0021999999999999997
None,10000,100,0.0021999999999999997
None,10000,1000,0.004200000000000001
None,10000,10000,0.0294
None,10000,100000,0.2792
None,100000,1,0.5072
None,100000,10,0.0558
None,100000,100,0.0112
None,100000,1000,0.012
None,100000,10000,0.0654
None,100000,100000,0.5187999999999999
None,1000000,1,50.415800000000004
None,1000000,10,5.099
None,1000000,100,0.5448000000000001
None,1000000,1000,0.1086
None,1000000,10000,0.1672
None,1000000,100000,1.9
