2,1000000,10,2.571796
2,1000000,1000,0.217942
2,800,10,0.000426
2,800,1000,0.002344
2,6500,10,0.001911
2,6500,1000,0.004084
4,1000000,10,1.553247
4,1000000,1000,0.143528
4,800,10,0.000403
4,800,1000,0.001964
4,6500,10,0.001505
4,6500,1000,0.003439
8,1000000,10,1.046042
8,1000000,1000,0.094222
8,800,10,0.000451
8,800,1000,0.001966
8,6500,10,0.001231
8,6500,1000,0.003006
10,1000000,10,0.54092
10,1000000,1000,0.082606
10,800,10,0.000552
10,800,1000,0.002106
10,6500,10,0.000987
10,6500,1000,0.003065
12,1000000,10,0.541586
12,1000000,1000,0.074581
12,800,10,0.000535
12,800,1000,0.00226
12,6500,10,0.001023
12,6500,1000,0.003385
16,1000000,10,0.541804
16,1000000,1000,0.063721
16,800,10,0.000659
16,800,1000,0.002259
16,6500,10,0.001213
16,6500,1000,0.003288
24,1000000,10,0.541454
24,1000000,1000,0.056276
24,800,10,0.000712
24,800,1000,0.002786
24,6500,10,0.001211
24,6500,1000,0.003512
32,1000000,10,0.59212
32,1000000,1000,0.048534
32,800,10,0.00091
32,800,1000,0.002943
32,6500,10,0.001471
32,6500,1000,0.003866
48,1000000,10,0.561585
48,1000000,1000,0.059456
48,800,10,0.001399
48,800,1000,0.003771
48,6500,10,0.001647
48,6500,1000,0.004917
64,1000000,10,0.573401
64,1000000,1000,0.044824
64,800,10,0.001675
64,800,1000,0.006571
64,6500,10,0.001815
64,6500,1000,0.005252
