2,1000000,10,1.23675
2,1000000,1000,1.374118
2,800,10,0.000899
2,800,1000,0.045086
2,6500,10,0.001735
2,6500,1000,0.059406
4,1000000,10,1.211797
4,1000000,1000,1.603229
4,800,10,0.001142
4,800,1000,0.040742
4,6500,10,0.002162
4,6500,1000,0.054714
8,1000000,10,1.201135
8,1000000,1000,1.386355
8,800,10,0.000836
8,800,1000,0.040725
8,6500,10,0.002299
8,6500,1000,0.056374
10,1000000,10,1.149218
10,1000000,1000,1.115161
10,800,10,0.001026
10,800,1000,0.045526
10,6500,10,0.00201
10,6500,1000,0.054283
12,1000000,10,1.157961
12,1000000,1000,1.144961
12,800,10,0.001614
12,800,1000,0.036966
12,6500,10,0.001815
12,6500,1000,0.053544
16,1000000,10,1.161496
16,1000000,1000,1.794519
16,800,10,0.000928
16,800,1000,0.045309
16,6500,10,0.00196
16,6500,1000,0.062487
24,1000000,10,1.24118
24,1000000,1000,0.706693
24,800,10,0.001191
24,800,1000,0.047806
24,6500,10,0.001666
24,6500,1000,0.05278
32,1000000,10,1.255269
32,1000000,1000,1.633539
32,800,10,0.001334
32,800,1000,0.042645
32,6500,10,0.001886
32,6500,1000,0.059903
48,1000000,10,1.196617
48,1000000,1000,1.287744
48,800,10,0.001279
48,800,1000,0.046638
48,6500,10,0.001676
48,6500,1000,0.058138
64,1000000,10,1.198879
64,1000000,1000,1.496138
64,800,10,0.001109
64,800,1000,0.055525
64,6500,10,0.001798
64,6500,1000,0.052114
