2,1,1,0.0018
2,1,10,0.0018
2,1,100,0.0018
2,1,1000,0.002
2,1,10000,0.0024000000000000002
2,1,100000,0.008799999999999999
2,1,1000000,None
2,10,1,0.0018
2,10,10,0.0018
2,10,100,0.0018
2,10,1000,0.0018
2,10,10000,0.0024000000000000002
2,10,100000,0.0098
2,10,1000000,None
2,100,1,0.0018
2,100,10,0.0018
2,100,100,0.002
2,100,1000,0.002
2,100,10000,0.004200000000000001
2,100,100000,0.033800000000000004
2,100,1000000,None
2,1000,1,0.002
2,1000,10,0.0018
2,1000,100,0.002
2,1000,1000,0.0038
2,1000,10000,0.025
2,1000,100000,0.2398
2,1000,1000000,None
2,10000,1,0.0073999999999999995
2,10000,10,0.0024000000000000002
2,10000,100,0.0024000000000000002
2,10000,1000,0.004399999999999999
2,10000,10000,0.0298
2,10000,100000,0.2774
2,10000,1000000,None
2,100000,1,0.5074
2,100000,10,0.03
2,100000,100,0.0082
2,100000,1000,0.0128
2,100000,10000,0.0674
2,100000,100000,0.5368
2,100000,1000000,None
2,1000000,1,50.3564
2,1000000,10,2.5428
2,1000000,100,0.284
2,1000000,1000,0.0742
2,1000000,10000,0.1562
2,1000000,100000,1.9318000000000002
2,1000000,1000000,None
4,1,1,0.002
4,1,10,0.0018
4,1,100,0.002
4,1,1000,0.002
4,1,10000,0.0026
4,1,100000,0.009
4,1,1000000,None
4,10,1,0.0018
4,10,10,0.0018
4,10,100,0.002
4,10,1000,0.002
4,10,10000,0.0026
4,10,100000,0.0098
4,10,1000000,None
4,100,1,0.002
4,100,10,0.002
4,100,100,0.0018
4,100,1000,0.0021999999999999997
4,100,10000,0.004200000000000001
4,100,100000,0.033600000000000005
4,100,1000000,None
4,1000,1,0.002
4,1000,10,0.002
4,1000,100,0.0021999999999999997
4,1000,1000,0.0038
4,1000,10000,0.0252
4,1000,100000,0.23879999999999998
4,1000,1000000,None
4,10000,1,0.0073999999999999995
4,10000,10,0.0024000000000000002
4,10000,100,0.0021999999999999997
4,10000,1000,0.004200000000000001
4,10000,10000,0.0298
4,10000,100000,0.2826
4,10000,1000000,None
4,100000,1,0.5088
4,100000,10,0.0196
4,100000,100,0.0064
4,100000,1000,0.012199999999999999
4,100000,10000,0.0668
4,100000,100000,0.5338
4,100000,1000000,None
4,1000000,1,50.3334
4,1000000,10,1.5374
4,1000000,100,0.1524
4,1000000,1000,0.0558
4,1000000,10000,0.15
4,1000000,100000,1.9300000000000002
4,1000000,1000000,None
8,1,1,0.002
8,1,10,0.002
8,1,100,0.002
8,1,1000,0.002
8,1,10000,0.0028
8,1,100000,0.009
8,1,1000000,None
8,10,1,0.002
8,10,10,0.002
8,10,100,0.002
8,10,1000,0.0021999999999999997
8,10,10000,0.0026
8,10,100000,0.0098
8,10,1000000,None
8,100,1,0.002
8,100,10,0.002
8,100,100,0.002
8,100,1000,0.002
8,100,10000,0.004200000000000001
8,100,100000,0.033800000000000004
8,100,1000000,None
8,1000,1,0.002
8,1000,10,0.002
8,1000,100,0.0021999999999999997
8,1000,1000,0.004
8,1000,10000,0.0254
8,1000,100000,0.23479999999999998
8,1000,1000000,None
8,10000,1,0.0073999999999999995
8,10000,10,0.0021999999999999997
8,10000,100,0.0021999999999999997
8,10000,1000,0.0046
8,10000,10000,0.029599999999999998
8,10000,100000,0.2824
8,10000,1000000,None
8,100000,1,0.5075999999999999
8,100000,10,0.0144
8,100000,100,0.0056
8,100000,1000,0.012
8,100000,10000,0.0674
8,100000,100000,0.5352
8,100000,1000000,None
8,1000000,1,50.308
8,1000000,10,1.0432000000000001
8,1000000,100,0.091
8,1000000,1000,0.047799999999999995
8,1000000,10000,0.1488
8,1000000,100000,1.936
8,1000000,1000000,None
16,1,1,0.0021999999999999997
16,1,10,0.0021999999999999997
16,1,100,0.002
16,1,1000,0.0024000000000000002
16,1,10000,0.0028
16,1,100000,0.009600000000000001
16,1,1000000,None
16,10,1,0.002
16,10,10,0.002
16,10,100,0.0021999999999999997
16,10,1000,0.0021999999999999997
16,10,10000,0.0028
16,10,100000,0.010199999999999999
16,10,1000000,None
16,100,1,0.0021999999999999997
16,100,10,0.002
16,100,100,0.002
16,100,1000,0.0024000000000000002
16,100,10000,0.0048000000000000004
16,100,100000,0.033800000000000004
16,100,1000000,None
16,1000,1,0.0021999999999999997
16,1000,10,0.0021999999999999997
16,1000,100,0.0024000000000000002
16,1000,1000,0.004
16,1000,10000,0.0256
16,1000,100000,0.24100000000000002
16,1000,1000000,None
16,10000,1,0.0078
16,10000,10,0.0026
16,10000,100,0.0026
16,10000,1000,0.005
16,10000,10000,0.030199999999999998
16,10000,100000,0.2828
16,10000,1000000,None
16,100000,1,0.5082
16,100000,10,0.0098
16,100000,100,0.0056
16,100000,1000,0.0126
16,100000,10000,0.06760000000000001
16,100000,100000,0.5316
16,100000,1000000,None
16,1000000,1,50.4116
16,1000000,10,0.5452
16,1000000,100,0.0598
16,1000000,1000,0.0432
16,1000000,10000,0.1466
16,1000000,100000,1.8989999999999998
16,1000000,1000000,None
32,1,1,0.0026
32,1,10,0.0026
32,1,100,0.0026
32,1,1000,0.0028
32,1,10000,0.0034000000000000002
32,1,100000,0.011
32,1,1000000,None
32,10,1,0.0026
32,10,10,0.0026
32,10,100,0.003
32,10,1000,0.0028
32,10,10000,0.0038
32,10,100000,0.0112
32,10,1000000,None
32,100,1,0.0028
32,100,10,0.0028
32,100,100,0.0026
32,100,1000,0.003
32,100,10000,0.006
32,100,100000,0.0346
32,100,1000000,None
32,1000,1,0.0026
32,1000,10,0.0026
32,1000,100,0.0038
32,1000,1000,0.0048000000000000004
32,1000,10000,0.026600000000000002
32,1000,100000,0.24100000000000002
32,1000,1000000,None
32,10000,1,0.0094
32,10000,10,0.0038
32,10000,100,0.004
32,10000,1000,0.0062
32,10000,10000,0.0314
32,10000,100000,0.2828
32,10000,1000000,None
32,100000,1,0.5096
32,100000,10,0.017
32,100000,100,0.0066
32,100000,1000,0.014599999999999998
32,100000,10000,0.0698
32,100000,100000,0.5412
32,100000,1000000,None
32,1000000,1,50.2748
32,1000000,10,0.5738000000000001
32,1000000,100,0.061399999999999996
32,1000000,1000,0.045
32,1000000,10000,0.1478
32,1000000,100000,1.9018000000000002
